INFO 2025-10-24 15:45:11,018 basehttp "GET /add/ HTTP/1.1" 200 4938
INFO 2025-10-24 15:45:23,255 views New study created: Ruban
INFO 2025-10-24 15:45:23,306 basehttp "POST /add/ HTTP/1.1" 302 0
INFO 2025-10-24 15:45:23,315 views Fetched all studies successfully.
INFO 2025-10-24 15:45:23,328 basehttp "GET / HTTP/1.1" 200 3302
INFO 2025-10-24 15:45:25,900 views Viewing study: Ruban
INFO 2025-10-24 15:45:25,904 basehttp "GET /view/1/ HTTP/1.1" 200 2227
INFO 2025-10-24 15:45:27,887 views Fetched all studies successfully.
INFO 2025-10-24 15:45:27,898 basehttp "GET / HTTP/1.1" 200 3302
INFO 2025-10-24 15:45:29,070 basehttp "GET /edit/1/ HTTP/1.1" 200 4971
INFO 2025-10-24 15:45:33,387 views Study updated: Ruban
INFO 2025-10-24 15:45:33,390 basehttp "POST /edit/1/ HTTP/1.1" 302 0
INFO 2025-10-24 15:45:33,400 views Fetched all studies successfully.
INFO 2025-10-24 15:45:33,408 basehttp "GET / HTTP/1.1" 200 3303
INFO 2025-10-24 15:45:36,958 views Viewing study: Ruban
INFO 2025-10-24 15:45:36,965 basehttp "GET /view/1/ HTTP/1.1" 200 2228
INFO 2025-10-24 15:45:39,305 views Fetched all studies successfully.
INFO 2025-10-24 15:45:39,320 basehttp "GET / HTTP/1.1" 200 3303
INFO 2025-10-24 15:45:41,905 basehttp "GET /add/ HTTP/1.1" 200 4938
INFO 2025-10-24 15:45:58,378 views New study created: test2
INFO 2025-10-24 15:45:58,384 basehttp "POST /add/ HTTP/1.1" 302 0
INFO 2025-10-24 15:45:58,389 views Fetched all studies successfully.
INFO 2025-10-24 15:45:58,402 basehttp "GET / HTTP/1.1" 200 4305
WARNING 2025-10-24 15:46:21,068 views Study deleted: test2
INFO 2025-10-24 15:46:21,075 basehttp "GET /delete/2/ HTTP/1.1" 302 0
INFO 2025-10-24 15:46:21,084 views Fetched all studies successfully.
INFO 2025-10-24 15:46:21,100 basehttp "GET / HTTP/1.1" 200 3303
INFO 2025-10-24 15:46:32,911 basehttp "GET /add/ HTTP/1.1" 200 4938
INFO 2025-10-24 15:46:47,181 views New study created: test3
INFO 2025-10-24 15:46:47,183 basehttp "POST /add/ HTTP/1.1" 302 0
INFO 2025-10-24 15:46:47,200 views Fetched all studies successfully.
INFO 2025-10-24 15:46:47,229 basehttp "GET / HTTP/1.1" 200 4305
INFO 2025-10-24 15:46:51,398 views Viewing study: test3
INFO 2025-10-24 15:46:51,406 basehttp "GET /view/3/ HTTP/1.1" 200 2231
INFO 2025-10-24 15:46:52,477 views Fetched all studies successfully.
INFO 2025-10-24 15:46:52,489 basehttp "GET / HTTP/1.1" 200 4305
INFO 2025-10-24 15:46:53,510 basehttp "GET /edit/3/ HTTP/1.1" 200 4974
INFO 2025-10-24 15:46:58,673 views Study updated: test3
INFO 2025-10-24 15:46:58,675 basehttp "POST /edit/3/ HTTP/1.1" 302 0
INFO 2025-10-24 15:46:58,681 views Fetched all studies successfully.
INFO 2025-10-24 15:46:58,692 basehttp "GET / HTTP/1.1" 200 4306
